"created_at","screen_name","text","name","location","is_retweet","date"
2020-03-30 17:03:55,"BarackObama","So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of them. This inspiring kid has been gathering supplies from hotels to donate to the medical professionals at his local hospital. https://t.co/K8Pvp9Cyaq","Barack Obama","Washington, DC",FALSE,2020-03-30
2020-03-28 19:56:14,"BarackObama","We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It falls to the rest of us now to pick it up and never stop moving forward until we finish what he started—that journey to justice.","Barack Obama","Washington, DC",FALSE,2020-03-28
2020-03-28 19:56:14,"BarackObama","What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely, and died too young to let anybody turn back the clock on our journey to justice.”","Barack Obama","Washington, DC",FALSE,2020-03-28
2020-03-28 19:56:13,"BarackObama","Rev. Joseph Lowery was a giant who let so many of us stand on his shoulders. With boundless generosity, patience, and moral courage, he encouraged a new generation of activists and leaders. Michelle and I remember him fondly today, and our love and prayers are with his family. https://t.co/xxjY2habOm","Barack Obama","Washington, DC",FALSE,2020-03-28
2020-03-27 17:43:32,"BarackObama","During this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many others—have been selflessly getting up every day to make sure we have the things we need. And for that, we say thank you.
https://t.co/Fq5qIRXt03","Barack Obama","Washington, DC",FALSE,2020-03-27
2020-03-26 00:00:34,"BarackObama","And this article provides a great example of the kind of community spirit that we need to get through this—a spirit that we can hopefully learn to instill more of into our lives, workplaces, civic institutions, and government once the crisis has passed. https://t.co/xYZvspW4Ug","Barack Obama","Washington, DC",FALSE,2020-03-26
2020-03-26 00:00:33,"BarackObama","Here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing this pandemic. So much depends on our ability to make good decisions going forward along with our ability to remain resilient. https://t.co/uYpP1KfOUs","Barack Obama","Washington, DC",FALSE,2020-03-26
2020-03-25 14:11:51,"BarackObama","These are the burdens our medical heroes already face in NYC. It's only going to get harder across the country. Another reason to maintain social distancing policies at least until we have comprehensive testing in place. Not just for our sake—for theirs. https://t.co/bwNXhOPMYs","Barack Obama","Washington, DC",FALSE,2020-03-25
2020-03-24 16:50:08,"BarackObama","Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER doctor who already fought on the front lines of one crisis makes it through a day in this one. A good reminder for us to help them out by staying home. https://t.co/ah7vva9776","Barack Obama","Washington, DC",FALSE,2020-03-24
2020-03-23 15:43:41,"BarackObama","Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks. https://t.co/7cy71sKLVG","Barack Obama","Washington, DC",FALSE,2020-03-23
2020-03-23 14:41:49,"BarackObama","Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsured rate in half, and lots more. But it's still under political attack right when we need care the most. We have to protect it, build on it, until we cover everyone. https://t.co/zz2v3DzMgq","Barack Obama","Washington, DC",FALSE,2020-03-23
2020-03-21 13:24:06,"BarackObama","Sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the importance of community and mutual aid.","Barack Obama","Washington, DC",FALSE,2020-03-21
2020-03-21 13:24:06,"BarackObama","And @cripchick, a disabled activist, understands what it’s like for people with particular vulnerabilities to come together for support:
https://t.co/aBAuBoMYFm","Barack Obama","Washington, DC",FALSE,2020-03-21
2020-03-21 13:24:05,"BarackObama",".@sullydish witnessed the impact of HIV-AIDS on the LGBT community in the early stages of that devastating disease: https://t.co/j0ipIrzoDC","Barack Obama","Washington, DC",FALSE,2020-03-21
